C;() C is the third letter of the English alphabet. It is from the Latin letter C, which in old Latin represented the sounds of k, and g (in go); its original value being the latter. In Anglo-Saxon words, or Old English before the Norman Conquest, it always has the sound of k. The Latin C was the same letter as the Greek /, /, and came from the Greek alphabet. The Greeks got it from the Ph/nicians. The English name of C is from the Latin name ce, and was derived, probably, through the French. Etymologically C is related to g, h, k, q, s (and other sibilant sounds). Examples of these relations are in L. acutus, E. acute, ague; E. acrid, eager, vinegar; L. cornu, E. horn; E. cat, kitten; E. coy, quiet; L. circare, OF. cerchier, E. search.
C;() The keynote of the normal or natural scale, which has neither flats nor sharps in its signature; also, the third note of the relative minor scale of the same.
C;() C after the clef is the mark of common time, in which each measure is a semibreve (four fourths or crotchets); for alla breve time it is written /.
C;() The C clef, a modification of the letter C, placed on any line of the staff, shows that line to be middle C.
C;() As a numeral, C stands for Latin centum or 100, CC for 200, etc.
Caaba;(n.) The small and nearly cubical stone building, toward which all Mohammedans must pray.
Caas;(n. sing. & pl.) Case.
Cab;(n.) A kind of close carriage with two or four wheels, usually a public vehicle.
Cab;(n.) The covered part of a locomotive, in which the engineer has his station.
Cab;(n.) A Hebrew dry measure, containing a little over two (2.37) pints.
Cabal;(n.) Tradition
Cabal;(n.) A secret.
Cabal;(n.) A number of persons united in some close design, usually to promote their private views and interests in church or state by intrigue; a secret association composed of a few designing persons; a junto.
Cabal;(n.) The secret artifices or machinations of a few persons united in a close design
Caballed;(imp. & p. p.) of Cabal
Caballing;(p. pr. & vb. n.) of Cabal
Cabal;(v. i.) To unite in a small party to promote private views and interests by intrigue
Cabala;(n.) A kind of occult theosophy or traditional interpretation of the Scriptures among Jewish rabbis and certain mediaeval Christians, which treats of the nature of god and the mystery of human existence. It assumes that every letter, word, number, and accent of Scripture contains a hidden sense; and it teaches the methods of interpretation for ascertaining these occult meanings. The cabalists pretend even to foretell events by this means.
Cabala;(n.) Secret science in general
Cabalism;(n.) The secret science of the cabalists.
Cabalism;(n.) A superstitious devotion to the mysteries of the religion which one professes.
Cabalist;(n.) One versed in the cabala, or the mysteries of Jewish traditions.
Cabalistic;(a.) Alt. of Cabalistical
Cabalistical;(a.) Of or pertaining to the cabala
Cabalistically;(adv.) In a cabalistic manner.
Cabalize;(v. i.) To use cabalistic language.
Caballer;(n.) One who cabals.
Caballine;(a.) Of or pertaining to a horse.
Caballine;(n.) Caballine aloes.
Cabaret;(n.) A tavern
Cabaret;(n.) a type of restaurant where liquor and dinner is served, and entertainment is provided, as by musicians, dancers, or comedians, and providing space for dancing by the patrons; -- similar to a nightclub. The term cabaret is often used in the names of such an establishment.
Cabaret;(n.) the type of entertainment provided in a cabaret{2}.
Cabas;(n.) A flat basket or frail for figs, etc.; hence, a lady's flat workbasket, reticule, or hand bag; -- often written caba.
Cabassou;(n.) A species of armadillo of the genus Xenurus (X. unicinctus and X. hispidus)
Cabbage;(n.) An esculent vegetable of many varieties, derived from the wild Brassica oleracea of Europe. The common cabbage has a compact head of leaves. The cauliflower, Brussels sprouts, etc., are sometimes classed as cabbages.
Cabbage;(n.) The terminal bud of certain palm trees, used, like, cabbage, for food. See Cabbage tree, below.
Cabbage;(n.) The cabbage palmetto. See below.
Cabbage;(v. i.) To form a head like that the cabbage; as, to make lettuce cabbage.
Cabbaged;(imp. & p. p) of Cabbage
Cabbaging;(p. pr. & vb. n.) of Cabbage
Cabbage;(v. i.) To purloin or embezzle, as the pieces of cloth remaining after cutting out a garment; to pilfer.
Cabbage;(n.) Cloth or clippings cabbaged or purloined by one who cuts out garments.
Cabbler;(n.) One who works at cabbling.
Cabbling;(n.) The process of breaking up the flat masses into which wrought iron is first hammered, in order that the pieces may be reheated and wrought into bar iron.
Cabeca;(n.) Alt. of Cabesse
Cabesse;(n.) The finest kind of silk received from India.
Caber;(n.) A pole or beam used in Scottish games for tossing as a trial of strength.
Cabezon;(n.) A California fish (Hemilepidotus spinosus), allied to the sculpin.
Cabiai;(n.) The capybara. See Capybara.
Cabin;(n.) A cottage or small house
Cabin;(n.) A small room
Cabin;(n.) A room in ship for officers or passengers.
Cabined;(imp. & p. p.) of Cabin
Cabining;(p. pr. & vb. n.) of Cabin
Cabin;(v. i.) To live in, or as in, a cabin; to lodge.
Cabin;(v. t.) To confine in, or as in, a cabin.
Cabinet;(n.) A hut
Cabinet;(n.) A small room, or retired apartment; a closet.
Cabinet;(n.) A private room in which consultations are held.
Cabinet;(n.) The advisory council of the chief executive officer of a nation
Cabinet;(n.) A set of drawers or a cupboard intended to contain articles of value. Hence:
Cabinet;(n.) A decorative piece of furniture, whether open like an etagere or closed with doors. See Etagere.
Cabinet;(n.) Any building or room set apart for the safe keeping and exhibition of works of art, etc.; also, the collection itself.
Cabinet;(a.) Suitable for a cabinet
Cabineting;(p. pr. & vb. n.) of Cabinet
Cabinet;(v. i.) To inclose
Cabinetmaker;(n.) One whose occupation is to make cabinets or other choice articles of household furniture, as tables, bedsteads, bureaus, etc.
Cabinetmaking;(n.) The art or occupation of making the finer articles of household furniture.
Cabinetwork;(n.) The art or occupation of working upon wooden furniture requiring nice workmanship; also, such furniture.
Cabirean;(n.) One of the Cabiri.
Cabbiri;(n. pl.) Certain deities originally worshiped with mystical rites by the Pelasgians in Lemnos and Samothrace and afterwards throughout Greece; -- also called sons of Hephaestus (or Vulcan), as being masters of the art of working metals.
Cabirian;(a.) Same as Cabiric.
Cabiric;(a.) Of or pertaining to the Cabiri, or to their mystical worship.
Cable;(n.) A large, strong rope or chain, of considerable length, used to retain a vessel at anchor, and for other purposes. It is made of hemp, of steel wire, or of iron links.
Cable;(n.) A rope of steel wire, or copper wire, usually covered with some protecting or insulating substance; as, the cable of a suspension bridge; a telegraphic cable.
Cable;(n.) A molding, shaft of a column, or any other member of convex, rounded section, made to resemble the spiral twist of a rope; -- called also cable molding.
Cable;(v. t.) To fasten with a cable.
Cable;(v. t.) To ornament with cabling. See Cabling.
Cabled;(imp. & p. p.) of Cable
Cabling;(p. pr. & vb. n.) of Cable
Cable;(v. t. & i.) To telegraph by a submarine cable
Cabled;(a.) Fastened with, or attached to, a cable or rope.
Cabled;(a.) Adorned with cabling.
Cablegram;(n.) A message sent by a submarine telegraphic cable.
Cablelaid;(a.) Composed of three three-stranded ropes, or hawsers, twisted together to form a cable.
Cablelaid;(a.) Twisted after the manner of a cable; as, a cable-laid gold chain.
Cablet;(n.) A little cable less than ten inches in circumference.
Cabling;(n.) The decoration of a fluted shaft of a column or of a pilaster with reeds, or rounded moldings, which seem to be laid in the hollows of the fluting. These are limited in length to about one third of the height of the shaft.
Cabmen;(pl. ) of Cabman
Cabman;(n.) The driver of a cab.
Cabob;(n.) A small piece of mutton or other meat roasted on a skewer
Cabob;(n.) A leg of mutton roasted, stuffed with white herrings and sweet herbs.
Cabob;(v. t.) To roast, as a cabob.
Caboched;(a.) Showing the full face, but nothing of the neck; -- said of the head of a beast in armorial bearing.
Caboodle;(n.) The whole collection
Caboose;(n.) A house on deck, where the cooking is done; -- commonly called the galley.
Caboose;(n.) A car used on freight or construction trains for brakemen, workmen, etc.; a tool car.
Cabotage;(n.) Navigation along the coast
Cabree;(n.) The pronghorn antelope.
Cabrerite;(n.) An apple-green mineral, a hydrous arseniate of nickel, cobalt, and magnesia; -- so named from the Sierra Cabrera, Spain.
Cabrilla;(n.) A name applied to various species of edible fishes of the genus Serranus, and related genera, inhabiting the Meditarranean, the coast of California, etc. In California, some of them are also called rock bass and kelp salmon.
Cabriole;(n.) A curvet
Cabriolet;(n.) A one-horse carriage with two seats and a calash top.
Cabrit;(n.) Same as Cabree.
Caburn;(n.) A small line made of spun yarn, to bind or worm cables, seize tackles, etc.
Cacaemia;(n.) Alt. of Cachaemia
Cachaemia;(n.) A degenerated or poisoned condition of the blood.
Cacaine;(n.) The essential principle of cacao
Cacajao;(n.) A South American short-tailed monkey (Pithecia (/ Brachyurus) melanocephala).
Cacao;(n.) A small evergreen tree (Theobroma Cacao) of South America and the West Indies. Its fruit contains an edible pulp, inclosing seeds about the size of an almond, from which cocoa, chocolate, and broma are prepared.
Cachalot;(n.) The sperm whale (Physeter macrocephalus). It has in the top of its head a large cavity, containing an oily fluid, which, after death, concretes into a whitish crystalline substance called spermaceti. See Sperm whale.
Cache;(n.) A hole in the ground, or hiding place, for concealing and preserving provisions which it is inconvenient to carry.
Cachectic;(a.) Alt. of Cachectical
Cachectical;(a.) Having, or pertaining to, cachexia; as, cachectic remedies; cachectical blood.
Cachepot;(n.) An ornamental casing for a flowerpot, of porcelain, metal, paper, etc.
Cachet;(n.) A seal, as of a letter.
Cachexia;(n.) Alt. of Cachexy
Cachexy;(n.) A condition of ill health and impairment of nutrition due to impoverishment of the blood, esp. when caused by a specific morbid process (as cancer or tubercle).
Cachinnation;(n.) Loud or immoderate laughter
Cachinnatory;(a.) Consisting of, or accompanied by, immoderate laughter.
Cachiri;(n.) A fermented liquor made in Cayenne from the grated root of the manioc, and resembling perry.
Cacholong;(n.) An opaque or milk-white chalcedony, a variety of quartz; also, a similar variety of opal.
Cachou;(n.) A silvered aromatic pill, used to correct the odor of the breath.
Cachucha;(n.) An Andalusian dance in three-four time, resembling the bolero.
Cachunde;(n.) A pastil or troche, composed of various aromatic and other ingredients, highly celebrated in India as an antidote, and as a stomachic and antispasmodic.
Cacique;(n.) See Cazique.
Cack;(v. i.) To ease the body by stool
Cackerel;(n.) The mendole
Cackled;(imp. & p. p.) of Cackle
Cackling;(p. pr. & vb. n.) of Cackle
Cackle;(v. i.) To make a sharp, broken noise or cry, as a hen or goose does.
Cackle;(v. i.) To laugh with a broken noise, like the cackling of a hen or a goose; to giggle.
Cackle;(v. i.) To talk in a silly manner
Cackle;(n.) The sharp broken noise made by a goose or by a hen that has laid an egg.
Cackle;(n.) Idle talk
Cackler;(n.) A fowl that cackles.
Cackler;(n.) One who prattles, or tells tales; a tattler.
Cackling;(n.) The broken noise of a goose or a hen.
Cacochymia;(n.) Alt. of Cacochymy
Cacochymy;(n.) A vitiated state of the humors, or fluids, of the body, especially of the blood.
Cacochymic;(a.) Alt. of Cacochymical
Cacochymical;(a.) Having the fluids of the body vitiated, especially the blood.
Cacodemon;(n.) An evil spirit
Cacodemon;(n.) The nightmare.
Cacodoxical;(a.) Heretical.
Cacodoxy;(n.) Erroneous doctrine
Cacodyl;(n.) Alkarsin; a colorless, poisonous, arsenical liquid, As2(CH3)4, spontaneously inflammable and possessing an intensely disagreeable odor. It is the type of a series of compounds analogous to the nitrogen compounds called hydrazines.
Cacodylic;(a.) Of, pertaining to, or derived from, cacodyl.
Cacoethes;(n.) A bad custom or habit; an insatiable desire; as, cacoethes scribendi, The itch for writing.
Cacoethes;(n.) A bad quality or disposition in a disease
Cacogastric;(a.) Troubled with bad digestion.
Cacographic;(a.) Pertaining to, or characterized by, cacography; badly written or spelled.
Cacography;(n.) Incorrect or bad writing or spelling.
Cacolet;(n.) A chair, litter, or other contrivance fitted to the back or pack saddle of a mule for carrying travelers in mountainous districts, or for the transportation of the sick and wounded of an army.
Cacology;(n.) Bad speaking
Cacomixle;(n.) Alt. of Cacomixl
Cacomixtle;(n.) Alt. of Cacomixl
Cacomixl;(n.) A North American carnivore (Bassaris astuta), about the size of a cat, related to the raccoons. It inhabits Mexico, Texas, and California.
Cacoon;(n.) One of the seeds or large beans of a tropical vine (Entada scandens) used for making purses, scent bottles, etc.
Cacophonic;(a.) Alt. of Cacophonious
Cacophonical;(a.) Alt. of Cacophonious
Cacophonous;(a.) Alt. of Cacophonious
Cacophonious;(a.) Harsh-sounding.
Cacophonies;(pl. ) of Cacophony
Cacophony;(n.) An uncouth or disagreable sound of words, owing to the concurrence of harsh letters or syllables.
Cacophony;(n.) A combination of discordant sounds.
Cacophony;(n.) An unhealthy state of the voice.
Cacotechny;(n.) A corruption or corrupt state of art.
Cacoxene;(n.) Alt. of Cacoxenite
Cacoxenite;(n.) A hydrous phosphate of iron occurring in yellow radiated tufts. The phosphorus seriously injures it as an iron ore.
Cactaceous;(a.) Belonging to, or like, the family of plants of which the prickly pear is a common example.
Cactuses;(pl. ) of Cactus
Cacti;(pl. ) of Cactus
Cactus;(n.) Any plant of the order Cactacae, as the prickly pear and the night-blooming cereus. See Cereus. They usually have leafless stems and branches, often beset with clustered thorns, and are mostly natives of the warmer parts of America.
Cacuminal;(a.) Pertaining to the top of the palate; cerebral; -- applied to certain consonants; as, cacuminal (or cerebral) letters.
Cacuminate;(v. i.) To make sharp or pointed.
Cad;(n.) A person who stands at the door of an omnibus to open and shut it, and to receive fares; an idle hanger-on about innyards.
Cad;(n.) A lowbred, presuming person; a mean, vulgar fellow.
Cadastral;(a.) Of or pertaining to landed property.
Cadastre;(n.) Alt. of Cadaster
Cadaster;(n.) An official statement of the quantity and value of real estate for the purpose of apportioning the taxes payable on such property.
Cadaver;(n.) A dead human body
Cadaveric;(a.) Of, pertaining to, or resembling, a corpse, or the changes produced by death; cadaverous; as, cadaveric rigidity.
Cadaverous;(a.) Having the appearance or color of a dead human body; pale; ghastly; as, a cadaverous look.
Cadaverous;(a.) Of or pertaining to, or having the qualities of, a dead body.
Cadbait;(n.) See Caddice.
Caddice;(n.) Alt. of Caddis
Caddis;(n.) The larva of a caddice fly. These larvae generally live in cylindrical cases, open at each end, and covered externally with pieces of broken shells, gravel, bits of wood, etc. They are a favorite bait with anglers. Called also caddice worm, or caddis worm.
Caddis;(n.) A kind of worsted lace or ribbon.
Caddish;(a.) Like a cad
Caddow;(n.) A jackdaw.
Caddies;(pl. ) of Caddy
Caddy;(n.) A small box, can, or chest to keep tea in.
Cade;(a.) Bred by hand
Cade;(v. t.) To bring up or nourish by hand, or with tenderness; to coddle; to tame.
Cade;(n.) A barrel or cask, as of fish.
Cade;(n.) A species of juniper (Juniperus Oxycedrus) of Mediterranean countries.
Cadence;(n.) The act or state of declining or sinking.
Cadence;(n.) A fall of the voice in reading or speaking, especially at the end of a sentence.
Cadence;(n.) A rhythmical modulation of the voice or of any sound; as, music of bells in cadence sweet.
Cadence;(n.) Rhythmical flow of language, in prose or verse.
Cadence;(n.) See Cadency.
Cadence;(n.) Harmony and proportion in motions, as of a well-managed horse.
Cadence;(n.) A uniform time and place in marching.
Cadence;(n.) The close or fall of a strain; the point of rest, commonly reached by the immediate succession of the tonic to the dominant chord.
Cadence;(n.) A cadenza, or closing embellishment; a pause before the end of a strain, which the performer may fill with a flight of fancy.
Cadence;(v. t.) To regulate by musical measure.
Cadency;(n.) Descent of related families
Cadene;(n.) A species of inferior carpet imported from the Levant.
Cadent;(a.) Falling.
Cadenza;(n.) A parenthetic flourish or flight of ornament in the course of a piece, commonly just before the final cadence.
Cader;(n.) See Cadre.
Cadet;(n.) The younger of two brothers
Cadet;(n.) A gentleman who carries arms in a regiment, as a volunteer, with a view of acquiring military skill and obtaining a commission.
Cadet;(n.) A young man in training for military or naval service; esp. a pupil in a military or naval school, as at West Point, Annapolis, or Woolwich.
Cadetship;(n.) The position, rank, or commission of a cadet; as, to get a cadetship.
Cadew;(n.) Alt. of Cadeworm
Cadeworm;(n.) A caddice. See Caddice.
Cadged;(imp. & p. p.) of Cadge
Cadging;(p. pr. & vb. n.) of Cadge
Cadge;(v. t. & i.) To carry, as a burden.
Cadge;(v. t. & i.) To hawk or peddle, as fish, poultry, etc.
Cadge;(v. t. & i.) To intrude or live on another meanly
Cadge;(n.) A circular frame on which cadgers carry hawks for sale.
Cadger;(v. t.) A packman or itinerant huckster.
Cadger;(v. t.) One who gets his living by trickery or begging.
Cadger;(n.) One who carries hawks on a cadge.
Cadgy;(a.) Cheerful or mirthful, as after good eating or drinking; also, wanton.
Cadi;(n.) An inferior magistrate or judge among the Mohammedans, usually the judge of a town or village.
Cadie;(n.) Alt. of Caddie
Caddie;(n.) A Scotch errand boy, porter, or messenger.
Cadilesker;(n.) A chief judge in the Turkish empire, so named originally because his jurisdiction extended to the cases of soldiers, who are now tried only by their own officers.
Cadillac;(n.) A large pear, shaped like a flattened top, used chiefly for cooking.
Cadis;(n.) A kind of coarse serge.
Cadmean;(a.) Of or pertaining to Cadmus, a fabulous prince of Thebes, who was said to have introduced into Greece the sixteen simple letters of the alphabet -- /, /, /, /, /, /, /, /, /, /, /, /, /, /, /, /. These are called Cadmean letters.
Cadmia;(n.) An oxide of zinc which collects on the sides of furnaces where zinc is sublimed. Formerly applied to the mineral calamine.
Cadmian;(a.) See Cadmean.
Cadmic;(a.) Pertaining to, derived from, or containing, cadmium; as, cadmic sulphide.
Cadmium;(n.) A comparatively rare element related to zinc, and occurring in some zinc ores. It is a white metal, both ductile and malleable. Symbol Cd. Atomic weight 111.8. It was discovered by Stromeyer in 1817, who named it from its association with zinc or zinc ore.
Cadrans;(n.) An instrument with a graduated disk by means of which the angles of gems are measured in the process of cutting and polishing.
Cadre;(n.) The framework or skeleton upon which a regiment is to be formed
Caducary;(a.) Relating to escheat, forfeiture, or confiscation.
Caducean;(a.) Of or belonging to Mercury's caduceus, or wand.
Caduceus;(n.) The official staff or wand of Hermes or Mercury, the messenger of the gods. It was originally said to be a herald's staff of olive wood, but was afterwards fabled to have two serpents coiled about it, and two wings at the top.
Caducibranchiate;(a.) With temporary gills: -- applied to those Amphibia in which the gills do not remain in adult life.
Caducity;(n.) Tendency to fall
Caducous;() Dropping off or disappearing early, as the calyx of a poppy, or the gills of a tadpole.
Caduke;(a.) Perishable
Cady;(n.) See Cadie.
Caeca;(n. pl.) See Caecum.
Caecal;(a.) Of or pertaining to the caecum, or blind gut.
Caecal;(a.) Having the form of a caecum, or bag with one opening; baglike; as, the caecal extremity of a duct.
