U;() the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y.
Uakari;(n.) Same as Ouakari.
Uberous;(a.) Fruitful
Uberty;(n.) Fruitfulness
Ubication;(n.) Alt. of Ubiety
Ubiety;(n.) The quality or state of being in a place
Ubiquarian;(a.) Ubiquitous.
Ubiquitist;(n.) Alt. of Ubiquitarian
Ubiquitarian;(n.) One of a school of Lutheran divines which held that the body of Christ is present everywhere, and especially in the eucharist, in virtue of his omnipresence. Called also ubiquitist, and ubiquitary.
Ubiquitariness;(n.) Quality or state of being ubiquitary, or ubiquitous.
Ubiquitary;(a.) Ubiquitous.
Ubiquitaries;(pl. ) of Ubiquitary
Ubiquitary;(n.) One who exists everywhere.
Ubiquitary;(n.) A ubiquist.
Ubiquitist;(n.) Same as Ubiquist.
Ubiquitous;(a.) Existing or being everywhere, or in all places, at the same time; omnipresent.
Ubiquity;(n.) Existence everywhere, or in places, at the same time; omnipresence; as, the ubiquity of God is not disputed by those who admit his existence.
Ubiquity;(n.) The doctrine, as formulated by Luther, that Christ's glorified body is omnipresent.
Uchees;(n. pl.) A tribe of North American Indians belonging to the Creek confederation.
Uckewallist;(n.) One of a sect of rigid Anabaptists, which originated in 1637, and whose tenets were essentially the same as those of the Mennonists. In addition, however, they held that Judas and the murderers of Christ were saved. So called from the founder of the sect, Ucke Wallis, a native of Friesland.
Udal;(n.) In Shetland and Orkney, a freehold; property held by udal, or allodial, right.
Udal;(a.) Allodial; -- a term used in Finland, Shetland, and Orkney. See Allodial.
Udaler;(n.) Alt. of Udalman
Udalman;(n.) In the Shetland and Orkney Islands, one who holds property by udal, or allodial, right.
Udder;(n.) The glandular organ in which milk is secreted and stored
Udder;(n.) One of the breasts of a woman.
Uddered;(a.) Having an udder or udders.
Udderless;(a.) Destitute or deprived of an udder.
Udderless;(a.) Hence, without mother's milk; motherless; as, udderless lambs.
Udometer;(n.) A rain gauge.
Ugh;(interj.) An exclamation expressive of disgust, horror, or recoil. Its utterance is usually accompanied by a shudder.
Uglesome;(a.) Ugly.
Uglify;(v. t.) To disfigure
Uglily;(adv.) In an ugly manner
Ugliness;(n.) The quality or state of being ugly.
Ugly;(superl.) Offensive to the sight
Ugly;(superl.) Ill-natured; crossgrained; quarrelsome; as, an ugly temper; to feel ugly.
Ugly;(superl.) Unpleasant; disagreeable; likely to cause trouble or loss; as, an ugly rumor; an ugly customer.
Ugly;(n.) A shade for the face, projecting from the bonnet.
Ugly;(v. t.) To make ugly.
Ugrian;(n. pl.) A Mongolian race, ancestors of the Finns.
Ugsome;(a.) Ugly
Uhlan;(n.) One of a certain description of militia among the Tartars.
Uhlan;(n.) One of a kind of light cavalry of Tartaric origin, first introduced into European armies in Poland. They are armed with lances, pistols, and sabers, and are employed chiefly as skirmishers.
Uintatherium;(n.) An extinct genus of large Eocene ungulates allied to Dinoceras. This name is sometimes used for nearly all the known species of the group. See Dinoceras.
Ukase;(n.) In Russia, a published proclamation or imperial order, having the force of law.
Ulan;(n.) See Uhlan.
Ularburong;(n.) A large East Indian nocturnal tree snake (Dipsas dendrophila). It is not venomous.
Ulcer;(n.) A solution of continuity in any of the soft parts of the body, discharging purulent matter, found on a surface, especially one of the natural surfaces of the body, and originating generally in a constitutional disorder; a sore discharging pus. It is distinguished from an abscess, which has its beginning, at least, in the depth of the tissues.
Ulcer;(n.) Fig.: Anything that festers and corrupts like an open sore
Ulcer;(v. t.) To ulcerate.
Ulcerable;(a.) Capable of ulcerating.
Ulcerated;(imp. & p. p.) of Ulcerate
Ulcerating;(p. pr. & vb. n.) of Ulcerate
Ulcerate;(v. i.) To be formed into an ulcer
Ulcerate;(v. t.) To affect with, or as with, an ulcer or ulcers.
Ulcerated;(a.) Affected with, or as with, an ulcer or ulcers; as, an ulcerated sore throat.
Ulceration;(n.) The process of forming an ulcer, or of becoming ulcerous; the state of being ulcerated; also, an ulcer.
Ulcerative;(a.) Of or pertaining to ulcers; as, an ulcerative process.
Ulcered;(a.) Ulcerous
Ulcerous;(a.) Having the nature or character of an ulcer
Ulcerous;(a.) Affected with an ulcer or ulcers
Ulcuscle;(n.) Alt. of Ulcuscule
Ulcuscule;(n.) A little ulcer.
Ule;(n.) A Mexican and Central American tree (Castilloa elastica and C. Markhamiana) related to the breadfruit tree. Its milky juice contains caoutchouc. Called also ule tree.
Ulema;(n.) A college or corporation in Turkey composed of the hierarchy, namely, the imams, or ministers of religion, the muftis, or doctors of law, and the cadis, or administrators of justice.
Ulexite;(n.) A mineral occurring in white rounded crystalline masses. It is a hydrous borate of lime and soda.
Uliginose;(a.) Alt. of Uliginous
Uliginous;(a.) Muddy; oozy; slimy; also, growing in muddy places.
Ullage;(n.) The amount which a vessel, as a cask, of liquor lacks of being full; wantage; deficiency.
Ullet;(n.) A European owl (Syrnium aluco) of a tawny color
Ullmannite;(n.) A brittle mineral of a steel-gray color and metallic luster, containing antimony, arsenic, sulphur, and nickel.
Ulluco;(n.) See Melluc/o.
Ulmaceous;(a.) Of or pertaining to a suborder of urticaceous plants, of which the elm is the type.
Ulmate;(n.) A salt of ulmic acid.
Ulmic;(a.) Pertaining to ulmin
Ulmin;(n.) A brown amorphous substance found in decaying vegetation. Cf. Humin.
Ulmus;(n.) A genus of trees including the elm.
Ulna;(n.) The postaxial bone of the forearm, or branchium, corresponding to the fibula of the hind limb. See Radius.
Ulna;(n.) An ell; also, a yard.
Ulnage;(n.) Measurement by the ell
Ulnar;(a.) Of or pertaining to the ulna, or the elbow; as, the ulnar nerve.
Ulnaria;(pl. ) of Ulnare
Ulnare;(n.) One of the bones or cartilages of the carpus, which articulates with the ulna and corresponds to the cuneiform in man.
Ulodendron;(n.) A genus of fossil trees.
Ulonata;(n. pl.) A division of insects nearly equivalent to the true Orthoptera.
Ulotrichan;(a.) Of or pertaining to the Ulotrichi.
Ulotrichan;(n.) One of the Ulotrichi.
Ulotrichi;(n. pl.) The division of mankind which embraces the races having woolly or crispy hair. Cf. Leiotrichi.
Ulotrichous;(a.) Having woolly or crispy hair
Ulster;(n.) A long, loose overcoat, worn by men and women, originally made of frieze from Ulster, Ireland.
